,Headlines,Valid Source,Source
38,"Trump gives coronavirus update: ""I'm starting to feel good""",Yes,Axios
39,"Mark Meadows: Trump's blood oxygen level ""dropped rapidly,"" but he's doing well",Yes,Axios
40,U.S. coronavirus updates,Yes,Axios
41,"White House physician says Trump's ""not yet out of the woods""",Yes,Axios
42,"Biden says he told some governors ""don't endorse me ... because you'll pay a penalty""",Yes,Axios
43,Chris Christie checks himself into a hospital after testing positive for COVID-19,Yes,Axios
44,"Trump campaign launches ""Operation MAGA"" after president's COVID-19 diagnosis",Yes,Axios
45,Covering a cover-up in real time,Yes,Axios
46,N.C. Dem. Senate candidate sent intimate texts to a woman who isn't his wife,Yes,Axios
47,White House enters cleanup mode over Trump's COVID-19 timeline,Yes,Axios
48,The turning point,Yes,Axios
49,"Senate postpones floor activity, but not Amy Coney Barrett confirmation hearings",Yes,Axios
50,Drop in labor force participation cut unemployment rate,Yes,Axios
51,Long-term unemployment's V-shaped bounce,Yes,Axios
52,Markets are unfazed by Trump's coronavirus uncertainty,Yes,Axios
53,3 scientists win Nobel Prize in medicine for Hepatitis C discovery,Yes,Axios
54,The NFL's (lack of) bubble burst,Yes,Axios
55,Trump's health: What we know,Yes,Axios
56,A West Wing meltdown,Yes,Axios
57,The coronavirus is in control,Yes,Axios
58,The blue money wave in Senate races,Yes,Axios
59,The unknowns of Trump's condition,Yes,Axios
60,"In a pandemic winter, dinner comes with a side of propane",Yes,Axios
61,"Walter Reed attending physician: Trump ""put lives at risk"" with drive-by",Yes,Axios
62,World coronavirus updates,Yes,Axios
63,"Trump makes ""surprise visit"" to supporters outside Walter Reed",Yes,Axios
64,Campaign adviser defends Trump drive-by during coronavirus treatment,Yes,Axios
65,Did You Wake Anyone Up to Tell Them Trump Has COVID-19?,Yes,The Atlantic
66,The Challenge of Observing American Democracy,Yes,The Atlantic
67,What I Saw at the White House,Yes,The Atlantic
68,The Atlantic Daily: What We Know About Trump’s Health,Yes,The Atlantic
69,Don’t Expect Trump’s Diagnosis to Change the Minds of Pandemic Skeptics,Yes,The Atlantic
70,Biden’s Negative Test Result Isn’t Enough to Say He’s in the Clear,Yes,The Atlantic
71,Why Has the President Gone Silent?,Yes,The Atlantic
72,A Taxonomy of Groping: The Below-the-Waist Edition,Yes,The Atlantic
73,What Happens If a Presidential Candidate Becomes Incapacitated or Dies,Yes,The Atlantic
74,The Probable Outcomes of Trump’s Diagnosis,Yes,The Atlantic
75,What Did You Expect?,Yes,The Atlantic
76,The Books Briefing: British Invasion,Yes,The Atlantic
77,Trump’s Denial Has Now Produced What He Feared,Yes,The Atlantic
78,Nicole Krauss on Seeing Manhood Through a Woman’s Eyes,Yes,The Atlantic
79,To Be a Man,Yes,The Atlantic
80,Can We Still Go to Mars?,Yes,The Atlantic
81,An Ancient Town Submerged: Hasankeyf Underwater,Yes,The Atlantic
82,Mothers’ Careers Are at Extraordinary Risk Right Now,Yes,The Atlantic
83,A New Dystopian Thriller That Will Twist Your Stomach and Your Brain,Yes,The Atlantic
84,The Risk Universities Can’t Not Take,Yes,The Atlantic
85,Presidential Debates Are More Useful Than Ever,Yes,The Atlantic
86,All the President’s Lies About the Coronavirus,Yes,The Atlantic
87,International Patterns Show Why Trump Is So Hard to Beat,Yes,The Atlantic
88,The Most Illuminating Moment of the Debate,Yes,The Atlantic
89,The Day I Met Donald Trump,Yes,The Atlantic
90,Trump’s Ex–National Security Adviser on His Failure to Condemn White Supremacy,Yes,The Atlantic
91,What Else Does the CIA Know About Trump and Russia?,Yes,The Atlantic
92,The Atlantic Daily: Why Can’t Trump Just Say It?,Yes,The Atlantic
93,Trump’s Climate Self-Own,Yes,The Atlantic
94,"A Pro-Trump Militant Group Has Recruited Thousands of Police, Soldiers, and Veterans  ",Yes,The Atlantic
95,The Polarizing Emo Record That Captured Teenage Angst,Yes,The Atlantic
96,Therapists Break Down the Debate’s Toxic Communication Patterns,Yes,The Atlantic
97,What If 2016 Was a Fluke?,Yes,The Atlantic
98,This Overlooked Variable Is the Key to the Pandemic,Yes,The Atlantic
99,The Loss That’s Killing the West’s Wildlife,Yes,The Atlantic
100,The Small Business Recovery,Yes,The Atlantic
101,The Story of an Unnatural Disaster,Yes,The Atlantic
102,How Bad Will Winter Get?,Yes,The Atlantic
103,Praying on a 707,Yes,The Atlantic
104,The Skeptic’s Case for Court Packing,Yes,The Atlantic
105,Saving Uighur Culture From Genocide,Yes,The Atlantic
106,"Suddenly, Amy Coney Barrett Might Not Have the Votes  ",Yes,The Atlantic
107,The President Is Not Well,Yes,The Atlantic
108,Trump Thought He’d Never Get It,Yes,The Atlantic
109,Trump Is a Super-Spreader of Disinformation,Yes,The Atlantic
110,It May Be Time to Invoke the Twenty-Fifth Amendment,Yes,The Atlantic
111,How an Anti-Shutdown Celebrity Is Made,Yes,The Atlantic
112,What Bolsonaro’s COVID-19 Case Tells Us About Trump’s,Yes,The Atlantic
113,Netflix’s Dick Johnson Is Dead Is a Bizarre Cinematic Experiment,Yes,The Atlantic
114,Pence in the Wings,Yes,The Atlantic
115,America Is Broken,Yes,The Atlantic
116,The Virus Is Coming From Inside the White House,Yes,The Atlantic
117,Dear Therapist: My Boyfriend Wants Me to Destroy My Precious Scrapbook From My First Marriage,Yes,The Atlantic
118,Why We’re Afraid of Bats,Yes,The Atlantic
119,Three Interpretations of Trump’s Tax Records,Yes,The Atlantic
120,How Chile Got Rid of Pinochet,Yes,The Atlantic
121,The Future of Chinese Power,Yes,The Atlantic
122,Trump Didn’t Even Try to Keep His Own People Safe,Yes,The Atlantic
123,California: Images of the Golden State,Yes,The Atlantic
124,Saturday Night Live Misunderstands Its Role Right Now,Yes,The Atlantic
125,The Reckless Race to Confirm Amy Coney Barrett Justifies Court Packing,Yes,The Atlantic
126,Under-fire Trump seeks to qualify far-right remarks,Yes,BBC
127,Trump-Biden debate pulled in 65 million TV viewers,Yes,BBC
128,Pope Francis rejects US secretary of state meeting,Yes,BBC
129,Space station crew woken up to hunt for air leak,Yes,BBC
130,How US networks reacted to presidential debate,Yes,BBC
131,Man charged over LA police 'ambush' shooting,Yes,BBC
132,US heiress jailed in Nxivm 'sex cult' case,Yes,BBC
133,Vinicius scores winner for Real Madrid,Yes,BBC
134,Man Utd beat Brighton to reach last eight,Yes,BBC
135,Williams withdraws from French Open,Yes,BBC
136,The perfect isolation of the ghost town at the edge of the world,Yes,BBC
137,What we get wrong about American confidence,Yes,BBC
138,What happened after this young woman defected from North Korea?,Yes,BBC
139,How jewellery got personal,Yes,BBC
140,The world's only women-only language,Yes,BBC
141,Google Pixel phone 'designed for economic downturn',Yes,BBC
142,UK beef served up in the US after a 20-year ban,Yes,BBC
143,How controversial data firm Palantir hit $22bn,Yes,BBC
144,Ex-Audi boss stands trial over 'dieselgate' scandal,Yes,BBC
145,"Shell to cut up to 9,000 jobs as oil demand slumps",Yes,BBC
146,Chicken Licken' economics 'will hold us back',Yes,BBC
147,The ancient gum holding back the desert,Yes,BBC
148,The plan to scatter glass in the Arctic,Yes,BBC
149,What 'net-zero carbon' really means,Yes,BBC
150,The rise of the female fitness model,Yes,BBC
151,Car burglar caught with his pants down,Yes,BBC
152,"First person cured of HIV, Timothy Ray Brown, dies",Yes,BBC
153,Extinction crisis: Leaders say it is time to act,Yes,BBC
154,Trump ads push baseless Biden earpiece conspiracy,Yes,BBC
155,Has the world started to take climate change fight seriously?,Yes,BBC
156,Quarantine breakers: 'It was selfish but I've no regrets',Yes,BBC
157,Flu jab delays amid high demand,Yes,BBC
158,Two old fighters looking for a knockout blow,Yes,BBC
159,Attenborough warns leaders over extinction crisis,Yes,BBC
160,Celebs face backlash over Dutch Covid rebellion,Yes,BBC
161,The woman who quit smoking and built a global hypnotherapy firm,Yes,BBC
162,A rare fruit grown inside a castle,Yes,BBC
163,Maritime life around the coast of Britain,Yes,BBC
164,In pictures: First Trump v Biden debate,Yes,BBC
165,Sixty years of Nigeria in six images,Yes,BBC
166,Congo's new generation of sharp dressers revealed,Yes,BBC
167,Texas governor cuts back on voting locations,Yes,BBC
168,Rules on debates to change after Trump-Biden spat,Yes,BBC
169,Anger grows after new India 'gang rape' death,Yes,BBC
170,The 'Dinner Table Syndrome' problem,Yes,BBC
171,"Subway bread rolls not bread, Irish court rules",Yes,BBC
172,Vaccine will 'not return life to normal in spring',Yes,BBC
173,The night American democracy hit rock bottom,Yes,BBC
174,Kremlin critic Navalny blames Putin for poisoning,Yes,BBC
175,EFL Cup: Arsenal beat Liverpool on penalties to reach quarters - reaction & draw,Yes,BBC
176,Man Utd get tough Champions League draw,Yes,BBC
177,Europa League: Reaction as Rangers join Celtic in group stage,Yes,BBC
178,The surprising benefits of causing disruption,Yes,BBC
179,How a black science pioneer was failed,Yes,BBC
180,What is a 'life of luxury' now?,Yes,BBC
181,The Swiss town that inspired Nietzsche,Yes,BBC
182,Hollywood's smartest teen movies,Yes,BBC
183,How remote work has changed the clique,Yes,BBC
184,Harry and Meghan call to end 'structural racism',Yes,BBC
185,Viking relatives to be 'reunited' as skeletons,Yes,BBC
186,P&O to axe route as demand falls amid coronavirus,Yes,BBC
187,H&M to close 250 shops as Covid drives sales online,Yes,BBC
188,Huawei 'failed to improve UK security standards',Yes,BBC
189,Rolls-Royce to raise billions in Covid-lifeline,Yes,BBC
190,The return of Europe's largest beasts,Yes,BBC
191,The Greek island seeking new residents,Yes,BBC
192,Rwanda's clothing spat with the US helps China,Yes,BBC
193,"Onions, ironing and 'sex appeal'",Yes,BBC
194,Beach flag tribute to those killed by...,Yes,BBC
195,The 12 Hong Kong activists captured at sea,Yes,BBC
196,C$1m cash and guns seized in 'illegal casino'...,Yes,BBC
197,Firefighters drive through California...,Yes,BBC
198,Ready for the total solar eclipse?,Yes,BBC
199,Great Mosque of al-Nuri destroyed,Yes,BBC
200,Video 'shows Mosul mosque's destruction',Yes,BBC
201,One-minute World News,Yes,BBC
202,I don't know who the Proud Boys are' - Trump,Yes,BBC
203,Gavin the paddleboarding seal becomes local...,Yes,BBC
204,UN makes Covid vaccine donation appeal,Yes,BBC
205,What wobbling rocks tell us about nuclear safety,Yes,BBC
206,CBBC star Archie Lyndhurst dies aged 19,Yes,BBC
207,Senators summon tech-giant chiefs for grilling,Yes,BBC
208,Palantir: The controversial firm now worth £17bn,Yes,BBC
209,Phantom smart doorbell chimes alarm owners,Yes,BBC
210,Delirium 'key Covid symptom' in frail older people,Yes,BBC
211,"Two-fifths of plants at risk of extinction, says report  By Helen Briggs ",Yes,BBC
212,How to make people like you - virtually,Yes,BBC
213,"If you steal music, you aren't a real music fan'",Yes,BBC
214,Aurora and rare moonbows light up the night,Yes,BBC
215,Trump in hospital as more allies test positive,Yes,BBC
216,Trump taken to hospital after Covid diagnosis,Yes,BBC
217,Partial lockdown imposed on defiant Madrid,Yes,BBC
218,Premier League: Everton v Brighton - Sigurdsson starts for hosts,Yes,BBC
219,The British town with a split personality,Yes,BBC
220,"Trump: Things 'going well, I think!'",Yes,BBC
221,Johnson: Good deal to be done on post-Brexit trade,Yes,BBC
222,France's Macron vows to fight 'Islamist separatism',Yes,BBC
223,Chilwell shines on first league start as Chelsea win big,Yes,BBC
224,James hopes Lakers make Bryant family proud,Yes,BBC
225,Stokes prepares to return to cricket,Yes,BBC
226,Nine films to watch in October,Yes,BBC
227,There's a stigma around male fertility',Yes,BBC
228,What determines our body image?,Yes,BBC
229,10 political novels to challenge your views,Yes,BBC
230,Covid-19 left me jobless - but what happened next?,Yes,BBC
231,US jobs growth slower than expected in September,Yes,BBC
232,US shares slump after Trump tests positive,Yes,BBC
233,Thousands of UK firms may need an EU office,Yes,BBC
234,Asda bought by billionaire brothers in £6.8bn deal,Yes,BBC
235,Trump: 'I think I'm doing very well',Yes,BBC
236,Ancient Aboriginal art 'unlike anything seen...,Yes,BBC
237,Aerial view of a cruise ship graveyard,Yes,BBC
238,Trump's seven days before his Covid-positive...,Yes,BBC
239,"Hang on, Peter': US news reacts to Trump's...",Yes,BBC
240,From Broadway to playing in a park,Yes,BBC
241,Working from beaches and mountains during...,Yes,BBC
242,National Trust's 'worst year' for ash dieback,Yes,BBC
243,11 rock and pop anthems that never made the charts,Yes,BBC
244,"Designer makes £77,000 from iPhone icons in a week",Yes,BBC
245,Covid: What is the risk to Donald Trump's health?,Yes,BBC
246,Disappearing Covid-19 app alerts cause alarm,Yes,BBC
247,Trump and Melania test positive for coronavirus,Yes,BBC
248,Africa's top shots: Hula-hooping at 60 and other feats,Yes,BBC
249,How pandemic sparked European cycling revolution,Yes,BBC
250,The surprising downsides of empathy,Yes,BBC
251,Armenia 'ready' for Nagorno-Karabakh truce talks,Yes,BBC
252,US airlines lay off staff as federal relief ends,Yes,BBC
253,EU warns Turkey of sanctions over 'provocations',Yes,BBC
254,Big draws for Celtic & Rangers in Europa League plus Premier League news,Yes,BBC
255,French Open: Halep races through 23-minute first set - radio & text,Yes,BBC
256,How the NFL forgot its greatest black pioneer,Yes,BBC
257,The British queen who unashamedly loved sex,Yes,BBC
258,The perfect isolation of the world's most remote ghost town,Yes,BBC
259,The city modernising love hotels,Yes,BBC
260,The tiny town that saved Nietzsche,Yes,BBC
261,What to say to someone who's lost a baby,Yes,BBC
262,I thought I split Oasis recording Morning Glory',Yes,BBC
263,US shares set to drop after Trump tests positive,Yes,BBC
264,Singapore firm pushes ahead with Newcastle Utd bid,Yes,BBC
265,Can you trust US polls?,Yes,BBC
266,Avoiding war in the Armenia-Azerbaijan...,Yes,BBC
267,Trudeau decries 'systemic racism' after...,Yes,BBC
268,The voice of Johnson and Trump on Spitting...,Yes,BBC
269,Should you be buying a second-hand smartphone?,Yes,BBC
270,Archie Lyndhurst's mum remembers 'unique' son,Yes,BBC
271,Nintendo wins £1.5m in Switch hacking case,Yes,BBC
272,Paris poised for maximum Covid alert,Yes,BBC
273,Trump tells America: 'I'll be back soon',Yes,BBC
274,Trump says next couple of days the 'real test',Yes,BBC
275,Nagorno-Karabakh conflict grows as big cities hit,Yes,BBC
276,"Premier League: Romeu stunner for Southampton, West Ham lead Leicester",Yes,BBC
277,The world's most offensive sitcom?,Yes,BBC
278,France and Italy hit by severe Storm Alex floods,Yes,BBC
279,Things 'bumpy to Christmas and beyond' - PM,Yes,BBC
280,Rapid coronavirus test rolled out in Madrid,Yes,BBC
281,French Open: Nadal cruises past Korda to make last eight - radio & text,Yes,BBC
282,London Marathon: Wheelchair races & your virtual stories - video and text,Yes,BBC
283,Polish teenager Swiatek stuns Halep,Yes,BBC
284,How screens alter children's brains,Yes,BBC
285,Whose Instagram record did Attenborough beat?,Yes,BBC
286,"Cineworld closure puts 5,500 jobs at risk",Yes,BBC
287,NME owner says pandemic impact wasn't all negative,Yes,BBC
288,Cruise refunds: 'Will we ever see our £5k again?',Yes,BBC
289,Lockdown was madness at home but saved us financially',Yes,BBC
290,Donald Trump gives video message from hospital,Yes,BBC
291,House collapses into river after severe...,Yes,BBC
292,Nurse learns sign language to help deaf...,Yes,BBC
293,Royal children quiz Sir David Attenborough,Yes,BBC
294,"Stumble, the one-legged duck, given...",Yes,BBC
295,Senator who hugged White House guests has...,Yes,BBC
296,Morton: 'Abused women aren't allowed to be angry',Yes,BBC
297,The volunteer hackers protecting the US election,Yes,BBC
298,Striking news pictures from around the world,Yes,BBC
299,Trump criticised over car ride with Covid-19,Yes,BBC
300,Unanswered questions about Trump's Covid crisis,Yes,BBC
301,"Transfer deadline day - Man Utd close to Cavani deal, Everton sign £30m Godfrey",Yes,BBC
302,The masterpiece that went unnoticed,Yes,BBC
303,The pay issue with permanent remote working,Yes,BBC
304,Trump 'understands' virus after getting ill,Yes,BBC
305,Who really decides the US election?,Yes,BBC
306,Hepatitis C discovery wins the Nobel Prize,Yes,BBC
307,I hope we smash stereotypes out of the water for good',Yes,BBC
308,Abraham apologises for Covid breach,Yes,BBC
309,The surprising fascination of China's super-rich,Yes,BBC
310,The idea that overcame British rule,Yes,BBC
311,What if GPS stopped working?,Yes,BBC
312,How do pandemics normally end?,Yes,BBC
313,Why I'm not alone in missing hugs during the pandemic',Yes,BBC
314,Lana Del Rey criticised for wearing mesh mask,Yes,BBC
315,"Boris Johnson urges people to ""go to the cinema""",Yes,BBC
316,Hovis could be swallowed by Italian food group,Yes,BBC
317,World's best airport' warns of prolonged crisis,Yes,BBC
318,Worst September for UK car sales this century,Yes,BBC
319,Kenzo fashion brand founder dies from Covid-19,Yes,BBC
320,Trump on Covid treatment: 'I learned a lot',Yes,BBC
321,Civilians and BBC team flee shelling,Yes,BBC
322,Trump makes 'surprise visit' to supporters,Yes,BBC
323,Donald Trump gives video message from...,Yes,BBC
324,Beirut blast was 'historically' powerful,Yes,BBC
325,How Dagny's luminous pop battles Norway's endless nights,Yes,BBC
326,Grindr accounts could be easily hacked using email,Yes,BBC
327,Chicago won’t cancel Halloween; Mayor Lori Lightfoot unveils pandemic rules for the holiday,Yes,The Chicago Tribune
328,Tamale Guy’ Claudio Velez discharged from hospital after more than a month due to COVID-19,Yes,The Chicago Tribune
329,"Embattled video gambling owner was in line for $2.5 million, taxpayer-funded windfall by flipping land. Now it’s off the table.",Yes,The Chicago Tribune
330,‘I’m ready to do it’: Chicago voters flock to Loop Super Site on city’s first day of early voting in Nov. 3 election,Yes,The Chicago Tribune
331,Who are the Proud Boys? Far-right group known for political brawls are in the spotlight after Trump tells them to ‘stand back and stand by.',Yes,The Chicago Tribune
332,"Cheese please: 25 gooey, melty mac and cheese recipes",Yes,The Chicago Tribune
333,A nervous person’s guide to viewing fall foliage in the Midwest,Yes,The Chicago Tribune
334,"Hair loss. Memory problems. Strange rashes. COVID-19 patients report a litany of symptoms outside official criteria, some persisting for months.",Yes,The Chicago Tribune
335,"Check’s in the mail: Trump offering government aid, including cash, in weeks before the election",Yes,The Chicago Tribune
336,"5 things we learned from the Chicago Bears, including Matt Nagy’s COVID-19 ‘nagging’, Cordarrelle Patterson’s recruitment of Damon ‘Snacks’ Harrison and Tarik Cohen’s replacement at punt returner",Yes,The Chicago Tribune
337,Luis Robert’s home run gives the White Sox an early lead in the decisive Game 3 vs. the A’s,Yes,The Chicago Tribune
338,Homer Glen man sentenced in Markham bribe scheme,Yes,The Chicago Tribune
339,Ex-Chicago police sergeant who fled prosecution sentenced to 13 years in federal prison in drug rip-off scheme,Yes,The Chicago Tribune
340,Person injured in possible paintball shooting near Burger King in Englewood,Yes,The Chicago Tribune
341,"South Holland firefighter, 29, dies following dive training exercise in Kankakee quarry lake",Yes,The Chicago Tribune
342,"Coronavirus in Illinois updates: Chicago won’t cancel Halloween as Mayor Lori Lightfoot unveils pandemic rules; 2,166 new known COVID-19 cases and 25 more deaths reported Thursday",Yes,The Chicago Tribune
343,Cubs live to see another day — Game 2 of their playoff series against the Marlins was postponed — but know they’ll need more runs Friday to stay alive,Yes,The Chicago Tribune
344,"State of Illinois says haunted houses are not allowed to operate, but several are already open",Yes,The Chicago Tribune
345,Mama Barbie! Nicki Minaj gives birth to her first child,Yes,The Chicago Tribune
346,"Trump, 74, and first lady test positive for COVID-19 as nation dives deeper into uncertainty before election",Yes,The Chicago Tribune
347,"On Monday, Trump updated the nation on coronavirus strategy. By Friday, he tested positive.",Yes,The Chicago Tribune
348,Pritzker vows to fight climate change with clean energy. Only 3 other states mined more climate-changing coal than Illinois last year.,Yes,The Chicago Tribune
349,"Loss, heroism and hope: Catching up with Chicagoans whose lives were forever changed by COVID-19",Yes,The Chicago Tribune
350,"FDA says U. of I.’s COVID-19 saliva test never had emergency use authorization touted by Gov. Pritzker, university in August",Yes,The Chicago Tribune
351,Flashback: ‘Waiting for the waves to give up their dead’: Lady Elgin disaster sent hundreds to their deaths,Yes,The Chicago Tribune
352,"The year of voting nervously, very, very nervously",Yes,The Chicago Tribune
353,Once we had comedy. Now we’ve got ‘This is Us In Space.’,Yes,The Chicago Tribune
354,"Pro: Call it ‘fair’ or ‘foul,’ the graduated-rate amendment will make for a better income tax",Yes,The Chicago Tribune
355,‘Driving home from the hospital with no baby.’ Chrissy Teigen’s posts about losing her baby are heartbreaking and generous.,Yes,The Chicago Tribune
356,"On city’s first day of early voting for Nov. 3 election, Chicago voters flock to Loop Super site: ‘I’ve been thinking about this day for a long time’",Yes,The Chicago Tribune
357,Coronavirus in Illinois updates: Here’s what’s happening Friday with COVID-19 in the Chicago area,Yes,The Chicago Tribune
358,Can the Chicago Bears beat the Colts on Sunday and improve to 4-0 for the 1st time in 14 years? Our Week 4 predictions.,Yes,The Chicago Tribune
359,Live updates: Pence and Pompeo test negative for COVID-19; doc says Trump will continue duties ‘without disruption’,Yes,The Chicago Tribune
360,"Last month was deadliest September since 1993, but Chicago police point to decreases in other violence crimes",Yes,The Chicago Tribune
361,"Shock, sympathy, mockery: How the world reacted to news of Trump’s COVID-19 infection",Yes,The Chicago Tribune
362,‘Saturday Night Live’ releases first look at Jim Carrey’s Joe Biden impression,Yes,The Chicago Tribune
363,10 years of Madigan coverage: Read the Tribune’s investigations into Illinois' house speaker,Yes,The Chicago Tribune
364,Trump joins a growing list of world leaders infected with COVID-19. Here’s a look at some others.,Yes,The Chicago Tribune
365,"Secure drop boxes, extra sorting machines and a decade of experience: Here’s why Illinois election officials say voting by mail is safe",Yes,The Chicago Tribune
366,"Third trial of Jackie Wilson after allegations of torture at the hands of Burge ends stunningly, with judge turning ire toward prosecutors",Yes,The Chicago Tribune
367,Billionaire Ken Griffin drops extra $26.7M against Pritzker’s graduated-rate income tax amendment proposal. His total stands at more than $46.7M,Yes,The Chicago Tribune
368,The Nick Foles era begins Sunday with hopes his confidence and composure — and ‘fearless’ demeanor — can fuel a memorable run for the Chicago Bears,Yes,The Chicago Tribune
369,"Illinois puts 28 counties on latest coronavirus warning list; daily death toll of 47 is highest since late June as total cases climb toward 300,000",Yes,The Chicago Tribune
370,25 recipes to use up leftover chicken,Yes,The Chicago Tribune
371,"Auto industry rebounding, but it’s slim pickings at Chicago-area new car dealerships",Yes,The Chicago Tribune
372,House Speaker Michael Madigan says it’s not ‘ethically improper’ to find government jobs for people. Here’s what he’s failing to mention.,Yes,The Chicago Tribune
373,Wisconsin Sen. Ron Johnson says he has COVID-19; at least 3rd GOP senator to test positive,Yes,The Chicago Tribune
374,Former MLB commissioner Kenesaw Mountain Landis’ name pulled off MVP plaques after 75 years,Yes,The Chicago Tribune
375,"Feverish and fatigued, Trump at military hospital as campaign manager tests positive for COVID-19",Yes,The Chicago Tribune
376,"James Bond film ‘No Time To Die’ delayed again, to 2021",Yes,The Chicago Tribune
377,"9 timely gardening and lawn tips for fall, whether you’re a pandemic gardening newbie or a seasoned pro",Yes,The Chicago Tribune
378,Holes in lawns could be from critters digging for grubs — here’s how to get rid of the source of the problem,Yes,The Chicago Tribune
379,"Cardinals Hall of Famer Bob Gibson, one of baseball’s most dominating pitchers of all time, dies of cancer at age 84",Yes,The Chicago Tribune
380,"An abundance of risk, not caution: Retracing Trump’s steps in the days leading up to his positive COVID-19 diagnosis",Yes,The Chicago Tribune
381,"After dodged questions and bungled timeline, White House doctor and chief of staff offer a confusing picture of Trump’s health",Yes,The Chicago Tribune
382,"More than 300,000 Illinoisans stricken with COVID-19 since the beginning of the pandemic, officials say",Yes,The Chicago Tribune
383,"Families of Jacob Blake, Breonna Taylor rally with hundreds in Evanston to call for justice: ‘We’re going to stand united in this fight'",Yes,The Chicago Tribune
384,Bears’ game against the Colts moved to 3:25 p.m. Sunday after COVID-19 causes NFL to postpone games,Yes,The Chicago Tribune
385,Supreme Court opens new term this week on the cusp of a solid conservative majority,Yes,The Chicago Tribune
386,"These brands may seem independent, but they are really owned by big companies",Yes,The Chicago Tribune
387,"4 Bears-Colts insights from CBS analyst Rich Gannon: Matt Nagy’s team might be 3-0, but ‘there is a lot of work that has to get done. There’s a lot to clean up.’",Yes,The Chicago Tribune
388,"SNL’ review: With Trump in the hospital, a nervous season opener finds itself between a 30 Rock and a hard place",Yes,The Chicago Tribune
389,"You’re worried about a pandemic, the election and a safe Halloween. Are you ready to start holiday shopping? ",Yes,The Chicago Tribune
390,"With a young team waiting to be molded, Bulls coach Billy Donovan could finally get the chance to shape his NBA coaching identity",Yes,The Chicago Tribune
391,Why leaves change color in autumn — and how to help your trees look as spectacular as possible,Yes,The Chicago Tribune
392,"Man shot during carjacking, police say",Yes,The Chicago Tribune
393,"Former White Sox pitcher Charlie Haeger, sought as a suspect in his ex-girlfriend’s killing in Arizona, is found dead of a self-inflicted gunshot wound, police say",Yes,The Chicago Tribune
394,"Robert Beric ties a franchise record by scoring in his 5th straight game, and the Chicago Fire run their unbeaten streak to 3 with a 2-2 draw against the Montreal Impact",Yes,The Chicago Tribune
395,Cineworld to close all of its Regal Cinema venues in U.S. and all cinemas across U.K. and Ireland in response to ‘No Time to Die’ delay,Yes,The Chicago Tribune
396,Trump leaves hospital briefly to greet supporters outside; White House doctor says Trump’s blood oxygen level dropped suddenly twice in recent days,Yes,The Chicago Tribune
397,Brad Biggs’ 10 thoughts on the Chicago Bears' 19-11 loss to the Indianapolis Colts in Week 4,Yes,The Chicago Tribune
398,The Bears needed game-changing plays from their defense against the Colts. Opportunities just kept slipping through the fingers.,Yes,The Chicago Tribune
399,"An Illinois university got major pushback for cutting religion, French and anthropology. But other colleges are dropping the humanities too. ",Yes,The Chicago Tribune
400,"Where are they now? COVID-19 victims, family members and heroes reflect on their new normal.",Yes,The Chicago Tribune
